Order_extracted,Study,Type_of_sterilization,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Environment,Age_at_treatment,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes
93,Ramsey et al 2021,levonorgestrel implant,No,Sham pellet,Female ,Phascolarctos cinereus,Koala,,Wild,Various,,74,0.72,0.78,NA,NA,NA,NA,Survival rate (%),Annual (average from across all years),NA,,,,,4355,603,NA,Survival rate taken as the average across all years. Sample size is also from across all years. Yearly data is also available in supplementary. Confidence intervals are provided.
96,Jewel 1997,Castration,Yes,Intact (no surgery),Male,Ovis aries,Sheep,Soay sheep,Wild,Lambs,,77,0.36,0.71,0.41,,,,Survival rate (%),one year,NA,,,,,14,14,54,1978 Calaculated the survival rate to the timepoint nearest 50% intact male survival
97,Jewel 1997,Castration,Yes,Intact (no surgery),Male,Ovis aries,Sheep,Soay sheep,Wild,Lambs,,78,0.2,0.88,0.91,,,,Survival rate (%),One year,NA,,,,,8,5,44,1979
98,Jewel 1997,Castration,Yes,Intact (no surgery),Male,Ovis aries,Sheep,Soay sheep,Wild,Lambs,,79,0.08,0.66,0.4,,,,Survival rate (%),Five years,NA,,,,,50,50,83,"1980. Calculated the survival rate to timepoint nearest to 50% intact male survival, and where there is data for all groups. A survival curve is also available but there is alot of missing data"
99,Iwasa et al 2018,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Sprague-Dawley,Laboratory,23 weeks,,80,0.43,0.86,NA,,,,Survival rate (%),~85 weeks. ,NA,,,,,7,7,NA,Calculated from a partial survival curve. Looked at when 50% of the control group died and then the number alive in the treatment group at this point
109,Parker et al 2013,Ovariectomy,Yes,Hysterectomy (ovary conservation),Female,Homo sapiens,Humans,,Human,Under 50 years old,,87,0.137,0.187,NA,,,,Survival rate (%),28 years,NA,,,,,10147,10947,,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
110,Parker et al 2014,Ovariectomy,Yes,Hysterectomy (ovary conservation),Female,Homo sapiens,Humans,,Human,50-60 years old,,88,0.13,0.146,NA,,,,Survival rate (%),28 years,NA,,,,,1746,4465,,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
111,Parker et al 2015,Ovariectomy,Yes,Hysterectomy (ovary conservation),Female,Homo sapiens,Humans,,Human,Over 60 years old,,89,0.102,0.101,NA,,,,Survival rate (%),28 years,NA,,,,,1310,1472,,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
112,Wilson et al 2019,Ovariectomy,Yes,Intact (no surgery),Female,Homo sapiens,Humans,,Human,Under 50 years old,,90,0.0649,0.083,NA,,,,Survival rate (%),21.5 years (median follow-up),NA,,,,,10218,851,,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
113,Wilson et al 2019,Hysterectomy,No,Intact (no surgery),Female,Homo sapiens,Humans,,Human,Under 50 years old,,90,0.0649,0.0676,NA,,,,Survival rate (%),21.5 years (median follow-up),NA,,,,,10218,2472,,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
114,Cheng 2019,Castration,Yes,Sham surgery,Male,Mus musculus,Mice,UMHet3,Laboratory,Under 30 days,,91,0.81,0.97,NA,,,,Survival rate (%),500 days,NA,,,,,238,238,NA,
105,Oneil et al 2013,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,83,,,,,,,,,95% confidence interval,0.8,0.5,1.1,Average difference in years to control,,,,"Total sample size for all animals in this study 2481, including the male comparison too. Male comparisons were to intact females, each of which was a 0.4 cofficent with 0.1-0.7 as confidence intervals. Is this the same data as that used by Hoffman et al 2018?"
106,Oneil et al 2013,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,84,,,,,,,,,,Look at comments for Coefficent whiich is in relation to the control female from the same study),,,,,,,"Total sample size for all animals in this study 2481, including the male comparison too. Male comparisons were to intact females, each of which was a 0.4 cofficent with 0.1-0.7 as confidence intervals. Is this the same data as that used by Hoffman et al 2018?"
107,Oneil et al 2015,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,Various,,85,,,,,,,,,95% confidence interval,0.6,0.1,1,Average difference in years to control,,,,"Total sample size for all animals in this study 3310, including the male comparison too. Male comparisons were to intact females. For intact males the comparison was -1.8 (lCE: -1.3 to -2.3) for neutered males it was 0.1 (CE -0.4 to 0.5)."
108,Oneil et al 2015,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,Various,,86,,,,,,,,,,Look at comments for Coefficent whiich is in relation to the control female from the same study),,,,,,,"Total sample size for all animals in this study 2481, including the male comparison too. Male comparisons were to intact females, each of which was a 0.4 cofficent with 0.1-0.7 as confidence intervals. Is this the same data as that used by Hoffman et al 2018?"
115,Bronson 1981,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,Various,,92,,,,,,,,,,,,,,,,,Need to calculate lifespan from histograms
116,Bronson 1981,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,Various,,93,,,,,,,,,,,,,,,,,Need to calculate lifespan from histograms
