Order_extracted,Study,Controlled_treatments,Type_of_sterilization,Gonads_removed,Control_treatment,Shamtreatment_moderator,Sex,Species_Latin,Species,Strain,Environment,Wild_or_semi_wild,Age_at_treatment,Maturity_at_treatment,Maturity_at_treatment_ordinal,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Error_control_SD,Error_experimental_SD,Error_opposite_sex_SD,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes,Notes2,Notes3
78,Min et al 2012,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,,,No,"Various.The boys lost their reproductive organs in accidents, or they underwent deliberate castration to gain access to the palace before becoming a teenager.",Prepuberty,2,,63,55.6,70,NA,0.53,1.76,NA,Median,Years,S.E.M,17.78463944,15.84,NA,,,,,1126,81,NA,Mok family,,
79,Min et al 2012,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,,,No,"Various.The boys lost their reproductive organs in accidents, or they underwent deliberate castration to gain access to the palace before becoming a teenager.",Prepuberty,2,,63,52.9,70,NA,0.45,1.76,NA,Median,Years,S.E.M,16.92143611,15.84,NA,,,,,1414,81,NA,Shin family,,
80,Min et al 2012,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,,,No,"Various.The boys lost their reproductive organs in accidents, or they underwent deliberate castration to gain access to the palace before becoming a teenager.",Prepuberty,2,,63,50.9,70,NA,2.16,1.76,NA,Median,Years,S.E.M,15.12,15.84,NA,,,,,49,81,NA,Seo family,,
81,Williams et al 2007,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Unknown - wild caught (>500g weight),Adult (young),4,,65,0.271,0.497,0.269,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,70,143,331,1993 cohort_treatment shared between two controls,,
82,Williams et al 2007,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Unknown - wild caught (>500g weight),Adult (young),4,,65,0.271,0.497,0.269,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,140,143,331,1994 cohort_treatment shared between two controls,,
83,Williams et al 2007,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,66,0.512,0.516,0.271,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,41,128,280,1994 cohort_Treatment shared,,
84,Williams et al 2007,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,66,0.377,0.516,0.271,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,77,128,280,1994 cohort_Treatment shared,,
85,Williams et al 2007,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,67,0.279,0.518,0.347,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,43,114,236,1995 cohort_Treatment shared,,
86,Williams et al 2007,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,67,0.338,0.518,0.347,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,68,114,236,1995 cohort_Treatment shared,,
87,Urfer et al 2019,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,68,14.09,14.15,13.77,0.033,0.013,0.046,Median,years,95% Confidence intervals,18.75369995,12.40048733,22.10748706,,0.033,0.013,0.046,322958,909894,230974,95% confidence intervals Intact Male: 14.03-14.16; Castrated male: 14.13-14.18,,
88,Urfer et al 2019,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,69,13.77,14.35,14.09,0.046,0.0102,0.033,Median,years,95% Confidence intervals,22.10748706,9.710121425,18.75369995,,0.046,0.0102,0.033,230974,906252,322958,"95% confidence intervals Intact female: 13.68-13.86, OVX female: 14.33-14.37",,
89,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,70,0.78,0.87,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,56,56,NA,"Orongorono 50% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999",,
90,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,71,0.72,0.83,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,36,142,NA,"Orongorono 80% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999",,
91,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,72,0.63,0.76,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,215,215,NA,"Turitea 50% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999. Confidence intervals are provided",,
92,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Yes,Female,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,73,0.6,0.74,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,31,123,NA,"Turitea 80% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999",,
93,Ramsey et al 2021,Yes,levonorgestrel implant,No,Sham capture,Yes,Female,Phascolarctos cinereus,Koala,,Wild,Yes,"Mature females, as definted by toothwear, under 1 year",Adult (young),4,,74,0.72,0.78,NA,NA,NA,NA,Survival rate (%),Annual (average from across all years),NA,,,,,,,,603,4355,NA,Survival rate taken as the average across all years. Sample size is also from across all years. Yearly data is also available in supplementary. Confidence intervals are provided.,,
94,Muhlock 1959,Yes,Castration,Yes,Intact (no surgery),No,Male,Mus musculus,Mouse,DBA,Laboratory,No,Weaning (1month),Prepuberty,2,,75,578,595,667,10.12,11.44,9.57,Mean,days,S.E.M,78.38918293,102.3224707,88.748529,,,,,60,80,86,Extracted data and calculated mean and SE from graph,,
95,Muhlock 1959,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mouse,DBA,Laboratory,No,Weaning (1 month),Prepuberty,2,,76,667,627,578,9.57,10.67,10.12,Mean,days,S.E.M,88.748529,87.98707405,78.38918293,,,,,86,68,60,Extracted data and calculated mean and SE from graph,,
96,Jewel 1997,Yes,Castration,Yes,Intact (no surgery),No,Male,Ovis aries,Sheep,Soay sheep,Wild,Yes,Lambs,Birth,1,,77,0.36,0.71,0.41,,,,Survival rate (%),one year,NA,,,,,,,,14,14,54,1978 Calaculated the survival rate to the timepoint nearest 50% intact male survival,,
97,Jewel 1997,Yes,Castration,Yes,Intact (no surgery),No,Male,Ovis aries,Sheep,Soay sheep,Wild,Yes,Lambs,Birth,1,,78,0.2,0.88,0.91,,,,Survival rate (%),One year,NA,,,,,,,,8,5,44,1979,,
98,Jewel 1997,Yes,Castration,Yes,Intact (no surgery),No,Male,Ovis aries,Sheep,Soay sheep,Wild,Yes,Lambs,Birth,1,,79,0.08,0.66,0.4,,,,Survival rate (%),Five years,NA,,,,,,,,50,50,83,"1980. Calculated the survival rate to timepoint nearest to 50% intact male survival, and where there is data for all groups. A survival curve is also available but there is alot of missing data",,
99,Iwasa et al 2018,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Rattus norvegicus,Rats,Sprague-Dawley,Laboratory,No,23 weeks,Late adult,4,,80,0.43,0.86,NA,,,,Survival rate (%),~85 weeks. ,NA,,,,,,,,8,7,NA,Calculated from a partial survival curve. Looked at when 50% of the control group died and then the number alive in the treatment group at this point,,
100,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,8-14 years (prepubertal),Prepuberty,2,,81,64.7,76.3,NA,0.99,1.36,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,5.769991334,NA,,,,,320,18,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages,,
101,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,15-19 years,Adult (young),4,,81,64.7,72.9,NA,0.99,5.13,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,43.52949345,NA,,,,,320,72,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages,,
102,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,20-29 years,Adult (young),4,,81,64.7,69.6,NA,0.99,2.5,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,19.52562419,NA,,,,,320,61,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages,,
103,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,30-39 years,Adult (old),4,,81,64.7,68.9,NA,0.99,2.05,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,14.35,NA,,,,,320,49,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages,,
104,Hamilton and Mestler 1969,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,Mentally handicaped individuals,,No,13-46 years old,Adult,4,,82,33.9,56.2,NA,1.36,4.69,NA,Median,Years,S.E.M,15.26596214,15.55497027,NA,,,,,126,11,NA,Only one female was 13 years and all the rest were clearly adult so group coded as adult,,
105,Oneil et al 2013,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,83,11.99,11.99,11.59,,,,Mean,Years,Estimated,,,,0.8,0.5,1.1,Average difference in years to control,1464,1224,1082,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for all was known, SD was estimated",,
106,Oneil et al 2013,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,84,11.59,12.39,11.99,,,,Mean,Years,Estimated,,,,Look at comments for Coefficent whiich is in relation to the control female from the same study),,,,1082,1304,1464,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for all was known, SD was estimated",,
107,Oneil et al 2015,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Various breeds,Domestic,No,Various,,,,85,12.81,14.71,14.61,,,,Mean,Years,Estimated,,,,0.6,0.1,1,Average difference in years to control,704,1296,707,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for each sex was estimated on the basis of the total sample size and the percentage that were known to be sterilized in both sexes, SD was estimated",,
108,Oneil et al 2015,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Felis catus,Cats,Various breeds,Domestic,No,Various,,,,86,14.61,15.21,12.81,,,,Mean,Years,Estimated,,,,Look at comments for Coefficent whiich is in relation to the control female from the same study),,,,707,1302,704,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for each sex was estimated on the basis of the total sample size and the percentage that were known to be sterilized in both sexes, SD was estimated",,
112,Wilson et al 2019,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,Under 50 years old,Adult,4,,90,0.9351,0.9166,NA,,,,Survival rate (%),21.5 years (median follow-up),NA,,,,,,,,10218,851,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis.",,
113,Wilson et al 2019,No,Hysterectomy,No,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,Under 50 years old,Adult,4,,90,0.9351,0.9324,NA,,,,Survival rate (%),21.5 years (median follow-up),NA,,,,,,,,10218,2472,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis.",,
114,Cheng 2019,Yes,Castration,Yes,Sham surgery,Yes,Male,Mus musculus,Mice,UMHet3,Laboratory,No ,Under 30 days is stated. The figure shows weights starting at approximately 15-20 days so this is used in the correlation analysis,Prepuberty,2,,91,0.81,0.97,NA,,,,Survival rate (%),500 days,NA,,,,,,,,238,238,NA,,,
115,Bronson 1981,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Various breeds,Domestic,No,After 6 months (they state few were done before neutered before 6 months or so),Puberty or adult,,,92,4.97,7.34,6.65,3.66,4.29,5.66,Mean,Years - for cats surviving to two years old,Standard deviation,3.66,4.29,5.66,,,,,219,265,99,Lifespan of individuals calculated from histograms. Used data from animals that survived after the first year. ,,
116,Bronson 1981,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Felis catus,Cats,Various breeds,Domestic,No,After 6 months (they state few were done before neutered before 6 months or so),Puberty or adult,,,93,6.65,9.11,4.97,5.66,5.13,3.66,Mean,Years - for cats surviving to two years old,Standard deviation,5.66,5.13,3.66,,,,,99,220,219,Lifespan of individuals calculated from histograms. Used data from animals that survived after the first year. ,,
117,Bronson 1982,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,94,8,9.9,7.7,5.2,6.8,4.4,Mean (from those alive after 2),Years,Standard Deviation,5.2,6.8,4.4,,,,,755,54,224,"Mean lifespan is that of those that are alive from 2 years of age. The authors also provide lifespan from birth, but point out that animals are not usually sterilized until at least 6 months, so this doesnt provide a fair comparison",,
118,Bronson 1982,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,95,7.7,8.8,8,4.4,6.9,5.2,Mean (from those alive after 2),Years,Standard Deviation,4.4,6.9,5.2,,,,,224,528,755,"Mean lifespan is that of those that are alive from 2 years of age. The authors also provide lifespan from birth, but point out that animals are not usually sterilized until at least 6 months, so this doesnt provide a fair comparison",,
119,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site FP predation natural,Yes,Unknown,,,,96,0.359,0.525,NA,,,,Survival rate (%),One breeding season (May-Sept),NA,,,,,,,,78,80,,Site FP predation natural,,
120,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site FC no predation,No,Unknown,,,,97,0.543,0.359,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,81,78,,Site FC no predation. Included as not wild-semi wild because protected from predation,,
121,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site HC Bird predation,Yes,Unknown,,,,98,0.321,0.392,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,81,79,,Site HC Bird predation,,
122,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site FP Natural,Yes,Unknown,,,,99,0.327,0.561,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,110,114,,Site FP Natural,,
123,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site NC No predation,No,Unknown,,,,100,0.293,0.347,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,75,75,,Site NC No predation. Included as not wild semi-wild because protected from predation,,
124,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site FC Bird predation,Yes,Unknown,,,,101,0.493,0.573,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,75,75,,Site FC Bird predation,,
125,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site HC Bird and snake predation,Yes,Unknown,,,,102,0.333,0.284,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,74,75,,Site HC Bird and snake predation,,
126,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site Mc Bird and snake predation,Yes,Unknown,,,,103,0.267,0.253,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,75,75,,Site Mc Bird and snake predation,,
127,Cox et al 2021,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Site FP natural,Yes,Unknown,,,,104,0.229,0.34,NA,,,,Survival rate (%),One breeding season (May-Sept),,,,,,,,,105,106,,Site FP natural,,
128,Skinner 2007,Yes,Tubul-ligation,No,Anesthetized but no surgery,Yes,Female,Odocoileus virginianus,White-tailed deer,,Suburban chicago,No,Unknown,,,,105,0.75,0.52,0.66,,,,Survival rate (%),four years,,,,,,,,,34,67,79,It is stated that more treatment does died from vechicle accidents (e.g. Human biased),,
129,Kent et al 2018,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Golden retriver,Domestic,No,Unknown,,,,106,8.68,9.35,5.89,,,,Median,Years,Range,3.23,2.71,3.27,,,,,118,228,58,Standard deviation calculated from the range according to Wan et al 2014,,
130,Kent et al 2018,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Golden retriver,Domestic,No,Unknown,,,,107,5.89,9.51,8.68,,,,Median,Years,Range,3.27,2.74,3.23,,,,,58,248,118,Standard deviation calculated from the range according to Wan et al 2014,,
131,Iversen et al 2007,No,Tubul-ligation,No,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,Various,,,,108,0.9195,0.9124,NA,,,,Survival rate (%),1968-2004 approx,,,,,,,,,2634,2511,NA,"Groups differ in some demographic factors ie parity. Used data from Table 3 (all cause dealth), where women who had a history of cancer or cardiovascular disease etc, before their operation or follow-up period, were excluded from the analysis (see statistics section). ",,
132,Sato et al 1997,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Rattus norvegicus,Rats,Sprague-Dawley,Laboratory,No,9 months,Adult,4,,109,0.8,0.971,NA,,,,Survival rate (%),6 months,,,,,,,,,35,35,,,,
133,Aida et al 1984,Yes,Castration ,Yes,Sham surgery,Yes,Male,Oncorhynchus masou,masu salmon,,Laboratory,No,precocious,,,,110,0.336,0.62,NA,,,,Survival rate (%),8 months,,,,,,,,,107,316,,Experiments were conducted on precocious mature males. Need to work out how to classify this in terms of maturity at castration. Some males had partial gonads remaining at ,,
135,Pullinger and Head 1964,Yes,Ovariectomy,Yes,Untreated,No,Female,Mus musculus,Mice,C3Hf,Laboratory,No,56-111 days of age,Adult,4,,112,0.37,0.23,NA,,,,Survival rate (%),to 30 months,,,,,,,,,114,40,NA,"""average lifespan"" in months is also provided but no error. Calculated the percentage surviving to 30 months as dead ranges are provided in 6 brackets and this is the closest to the median for control females. This group is control virgin females (OVX data was shared and compared to breeding females in the other female comparison for this paper but I removed it because I dont think social environment was comparable)",,
136,Robertson et al 1961,No,Castration,Yes,Untreated,No,Male,Oncorhynchus nerka,Kokanee salmon,,Experimental pond,No ,2 years 1 month,Prior to sexual maturity,2,,113,4.05,5.31,4.26,,,,Mean,,,0.59,1.6,0.55,,,,,41,13,58,Only used data on animals that were found dead and did not have regenerating gonads. Mortality data is presented for a larger cohort that were also exposed to predation but control data is not seperated according to sex.,,
137,Robertson et al 1961,No,Ovariectomy,Yes,Untreated,No,Female,Oncorhynchus nerka,Kokanee salmon,,Experimental pond,No,2 years 1 month,Prior to sexual maturity,2,,114,4.26,5.89,4.05,,,,Mean,,,0.55,1.63,0.59,,,,,58,16,41,Only used data on animals that were found dead and did not have regenerating gonads. Mortality data is presented for a larger cohort that were also exposed to predation but control data is not seperated according to sex.,,
138,Saunders et al 2002,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Vulpes vulpes,Foxes,,Wild,Yes,Adult (toothwear),,4,,115,0.83,0.85,0.885,,,,Survival rate (%),2 years,,,,,,,,,6,20,26,Included as controled because comparison is to animals on the same site. Male data is also from the same site,,
139,Saunders et al 2002,No,Tubul-ligation,No,Sham surgery,Yes,Female,Vulpes vulpes,Foxes,,Wild,Yes,Adult (toothwear),,4,,115,0.786,0.85,0.955,,,,Survival rate (%),2 years,,,,,,,,,14,20,22,Included as not controlled as effect of sham surgery was assessed on a neighouring site although the authors compare survivalship rates between,,
140,Collins and Kasbohn 2017,No,Ovariectomy,Yes,untreated,No,Female,Equus caballus,Feral horse,,Wild,Yes,Adult,,4,,116,0.861,0.851,0.9,,,,Survival rate (%),Annual,,,,,,,,,114,36,10,"There is also male data but they used a lot of different methods, mainly vasectomy and chemical castration, and data is not split according to surgery type",,
141,Urfer et al 2020,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,,Various,No,Various,,,,117,15,15.2,14.1,,,,Median survival time,Years,Confidence interval (calcualted SD),17.598,16.53,20.09,,,,,2115,8567,1551,Calculated SD looks high? Another MSL from age 5 years is provided by not sure of the sample size included,,
142,Urfer et al 2020,No,Ovariectomy,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,,Various,No,Various,,,,118,14.1,15.8,15,,,,Median survival time,Years,Confidence interval (calcualted SD),20.09,16.67,17.598,,,,,1551,8711,2115,Calculated SD looks high? Another MSL from age 5 years is provided by not sure of the sample size included,,
143,Ossewaarde et al 2005,No,Hysterectomy,No,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No ,Various,,,,119,0.7825,0.8197,NA,,,,Survival rate (%),Mean 17 years,,,,,,,,,10087,743,NA,Taken from number of cases of mortality across the follow-up period (Table 3),,
144,Ossewaarde et al 2005,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,Various,,,,119,0.7825,0.8139,NA,,,,Survival rate (%),Mean 17 years,,,,,,,,,10087,865,NA,Taken from number of cases of mortality across the follow-up period (Table 3),,
145,Hotchkiss 1995,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Rattus norvegicus,Rats,Sprague-Dawley,Laboratory,No,90 days,Adult,4,,120,0.333,0.833,NA,,,,Survival rate (%),to 630 days,,,,,,,,,12,12,NA,Survival to 630 days. Animals that presented with subquaneous tumors had these surgically removed.,,
146,Rocca et al 2006,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,Under 45 years old,Adult,4,,121,0.838,0.734,NA,,,,Survival rate (%),"Not sure, but total follow up years is provided in tables ",,,,,,,,,1417,124,NA,Data from Table 1 and includes all individuals in that bracket,,
147,Rocca et al 2006,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,,Adult,4,,122,0.628,0.691,NA,,,,Survival rate (%),"Not sure, but total follow up years is provided in tables ",,,,,,,,,645,243,NA,Data from Table 1 and includes all individuals in that bracket,,
148,Rocca et al 2006,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,,Adult,4,,123,0.505,0.553,NA,,,,Survival rate (%),"Not sure, but total follow up years is provided in tables ",,,,,,,,,321,170,NA,Data from Table 1 and includes all individuals in that bracket,,
149,Howard et al 2005,No,Hysterectomy,No,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,,Adult,4,,124,0.979,0.977,NA,,,,Survival rate (%),,,,,,,,,,52976,18687,NA,"Total sample size split between groups is shown in ""age at screening"", which equates to the total sample size given at start of results. Calculated mortality by adding all causes together. Not sure  have calculated this correctly or why it differs so dramatically from % annual that is given",,
150,Howard et al 2005,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,,Adult,4,,124,0.979,0.976,NA,,,,Survival rate (%),,,,,,,,,,52976,18251,NA,"Total sample size split between groups is shown in ""age at screening"", which equates to the total sample size given at start of results. Calculated mortality by adding all causes together. Not sure  have calculated this correctly or why it differs so dramatically from % annual that is given",,
151,Phelan 1995,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Mus musculus,Mice,Swiss,Laboratory,No,Weaning,Weaning,2,,125,0.41,0.62,NA,,,,Survival rate (%),To 800 days,,,,,,,,,30,30,NA,Animals were maintained on a 90% of adlibitum diet. This was a control group for a sepeate CR study and they state stopped the animals getting fat. ,,
152,Manson et al 2013,No,Hysterectomy,No,Intact (no surgery),No,Female,Homo sapiens,Humans,,,No,Various,Adult,4,,126,0.9706,0.9449,NA,,,,Survival rate (%),17 years,,,,,,,,,8102,5429,NA,"The control and hysterectomy data is taken from the placebo of two parrellel studies run by the WHI. Women in both studies were matched for age and various variables, although some differences between the cohorts were present as would be typical.",,
153,Deleuze et al 2021,No,Tubectomy,No,Intact (no surgery),No,Female,Macaca Fascicularis ,Long-tailed Macaques,,,Yes,Adult (most) and a few subadult,,4,,127,0.86,0.87,NA,,,,Survival rate (%),3 years,,,,,,,,,22,39,NA,"2017-2018 cohort. Authors sent me additional data for control female animals that had been marked, and were tracked over the same time period from the same population.",,
154,Deleuze et al 2021,No,Tubectomy,No,Intact (no surgery),No,Female,Macaca Fascicularis ,Long-tailed Macaques,,,Yes,Adult (most) and a few subadult,,4,,128,0.93,0.95,NA,,,,Survival rate (%),Annual,,,,,,,,,41,43,NA,"2018-2019 cohort. Authors sent me additional data for control female animals that had been marked, and were tracked over the same time period from the same population.",,
155,Deleuze et al 2021,No,Tubectomy,No,Intact (no surgery),No,Female,Macaca Fascicularis ,Long-tailed Macaques,,,Yes,Adult (most) and a few subadult,,4,,129,0.95,0.98,NA,,,,Survival rate (%),Annual,,,,,,,,,134,45,NA,"2019-2020 cohort. Authors sent me additional data for control female animals that had been marked, and were tracked over the same time period from the same population.",,
156,Wang et al 2021,Yes,Castration,Yes,Sham surgery,Yes,Male,Mus musculus,Mice,C57BL6,,No ,8 months,Adult,4,,130,933.5,938.5,NA,,,,Median,,SD,129,117,NA,,,,,22,22,NA,Extended figure 3I,,
157,Wang et al 2021,Yes,Castration,Yes,Sham surgery,Yes,Male,Mus musculus,Mice,,,No,18 months,Adult,4,,131,974,959,NA,,,,Median,,SD,95,93,NA,,,,,19,19,NA,Fig 6q Animals had been injected with a control shRNA,,
158,Tidiere 2016,No,Various,NA,Intact (no surgery),No,Female,Varecia rubra,Red ruffed lemur,,Zoo,No,Unknown,Unknown,,,132,15.65,19.84,16.18,,,,Mean,,SD,12.45479226,10.21080996,13.43692531,,,,,689,67,927,"Data as described in Fig 7.3 of thesis, from 1 year of age and split for each species",,
159,Tidiere 2016,No,Various,NA,Intact (no surgery),No,Male,Varecia rubra,Red ruffed lemur,,Zoo,No,Unknown,Unknown,,,133,16.18,19.4,15.65,,,,Mean,,SD,13.43692531,11.49537407,12.45479226,,,,,927,38,689,"Data as described in Fig 7.3 of thesis, from 1 year of age and split for each species",,
160,Tidiere 2016,No,Various,NA,Intact (no surgery),No,Female,Varecia variegata,Black and white ruffed lemur,,Zoo,No,Unknown,Unknown,,,134,13.95,18.03,13.82,,,,Mean,,SD,13.12282736,12.48979592,14.48518516,,,,,1542,36,1999,"Data as described in Fig 7.3 of thesis, from 1 year of age and split for each species",,
