Order_extracted,Study,Controlled_treatments,Type_of_sterilization,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Environment,Wild_or_semi_wild,Age_at_treatment,Maturity_at_treatment,Maturity_at_treatment_ordinal,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Error_control_SD,Error_experimental_SD,Error_opposite_sex_SD,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes
90,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,71,0.72,0.83,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,36,142,NA,"Orongorono 80% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999"
91,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,72,0.63,0.76,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,215,215,NA,"Turitea 50% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999. Confidence intervals are provided"
92,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,73,0.6,0.74,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,31,123,NA,"Turitea 80% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999"
93,Ramsey et al 2021,Yes,levonorgestrel implant,No,Sham capture,Female ,Phascolarctos cinereus,Koala,,Wild,Yes,"Mature females, as definted by toothwear, under 1 year",Adult (young),4,,74,0.72,0.78,NA,NA,NA,NA,Survival rate (%),Annual (average from across all years),NA,,,,,,,,603,4355,NA,Survival rate taken as the average across all years. Sample size is also from across all years. Yearly data is also available in supplementary. Confidence intervals are provided.
29,Reedy et al 2016,Yes,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught adult after start of breeding,Adult (young),4,,25,0.25,0.21,0.55,NA,NA,NA,Survival rate (%),10 weeks (of breeding season),NA,,,,,,,,110,110,60,
30,Reedy et al 2016,Yes,Castration,Yes,Sham surgery,Male,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught adult after start of breeding,Adult (young),4,,26,0.55,0.28,0.25,NA,NA,NA,Survival rate (%),10 weeks (of breeding season),NA,,,,,,,,60,60,110,
45,Sichuk 1965,Yes,Castration,Yes,Sham surgery,Male,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,No,6 weeks,Puberty,3,,37,612,578,589,,,,Mean,Days,,222.91,151.3,222.95,,,,,92,90,94,Use - SD from Kirkman & Yau;Error not provided. Mean lifespan comes from the lifespan of both those with thrumobis and those that do not have it. Calculated the mean of these two values weighed against the sample size of each group
46,Sichuk 1965,Yes,Ovariectomy,Yes,Sham surgery,Female,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,No,6 weeks,Puberty,3,,38,589,586,612,,,,Mean,Days,,222.95,155.44,222.91,,,,,94,92,92,Use - SD from Kirkman & Yau;Error not provided. Mean lifespan comes from the lifespan of both those with thrumobis and those that do not have it. Calculated the mean of these two values weighed against the sample size of each group
53,Slonaker 1930,Yes,Ovariectomy,Yes,Intact (no surgery),Female ,Rattus norvegicus,Rat,Albino,Laboratory,No,27.5 days,Prepuberty,2,,44,863,755,788,27.69,22.15,22.25,Mean,Days,Probable error,41.05263158,32.8391401,32.98739807,,,,,17,37,10,
54,Slonaker 1930,Yes,Hysterectomy,No,Intact (no surgery),Female,Rattus norvegicus,Rat,Albino,Laboratory,No,29 days,Prepuberty,2,,44,863,855,788,27.69,12.67,22.25,Mean,Days,Probable error,41.05263158,18.78428466,32.98739807,,,,,17,60,10,
51,Slonaker 1930,Yes,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rat,Albino,Laboratory,No,44 days. Testes had decended by the operation,Adult (young),4,,43,788,770,863,22.25,28,27.69,Mean,Days,Probable error,32.98739807,41.51223128,41.05263158,,,,,10,8,17,
52,Slonaker 1930,Yes,Vasectomy,No,Intact (no surgery),Male,Rattus norvegicus,Rat,Albino,Laboratory,No,46.5 days. Testes had decended by the operation,Adult (young),4,,43,788,685,863,22.25,39.72,27.69,Mean,Days,Probable error,32.98739807,58.88806523,41.05263158,,,,,10,12,17,Standard deviation calculated from probable error as P.E./0.6745. Calculation derived from P.E. Wikipedia page
55,Storer et al 1982,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,RFM,Laboratory,No,50 days,Adult (young),4,,45,643.4,662.2,NA,5.91,7.31,NA,Mean,Days,S.E.M.,161.3116068,134.1937618,NA,,,,,745,337,NA,Non-irradiated controls from an irradiation experiment
56,Storer et al 1982,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,Balb/c,Laboratory,No,50 days,Adult (young),4,,46,762.9,795.5,NA,6.21,10.95,NA,Mean,Days,S.E.M.,179.0161085,197.7073974,NA,,,,,831,326,NA,Non-irradiated controls from an irradiation experiment
63,Talbert and Hamilton 1965,Yes,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Lewis,Laboratory,No,Birth,Birth,1,,52,454,521,484,18,27,19,Mean,Days,S.E.M,108,174.9799989,123.1340733,,,,,36,42,42,
66,Talbert and Hamilton 1965,Yes,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Lewis,Laboratory,No,Birth,Birth,1,,53,484,574,454,19,33,18,Mean,Days,S.E.M,123.1340733,183.736224,108,,,,,42,31,36,
64,Talbert and Hamilton 1965,Yes,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Lewis,Laboratory,No,22-28 days,Prepuberty,2,,52,454,488,484,18,28,19,Mean,Days,S.E.M,108,165.6502339,123.1340733,,,,,36,35,42,
67,Talbert and Hamilton 1965,Yes,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Lewis,Laboratory,No,22-28 days,Prepuberty,2,,53,484,480,454,19,44,18,Mean,Days,S.E.M,123.1340733,206.3782934,108,,,,,42,22,36,
65,Talbert and Hamilton 1965,Yes,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Lewis,Laboratory,No,100 days,Adult (young),4,,52,454,439,484,18,25,19,Mean,Days,S.E.M,108,119.8957881,123.1340733,,,,,36,23,42,
68,Talbert and Hamilton 1965,Yes,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Lewis,Laboratory,No,100 days,Adult (young),4,,53,484,515,454,19,41,18,Mean,Days,S.E.M,123.1340733,183.3575742,108,,,,,42,20,36,
69,Tapprest et al 2017,No,Castration,Yes,Intact (no surgery),Male,Equus ferus,Draught horse,,Farm,No,Unknown,Unknown,,,54,0.152,0.174,0.103,,,,Survival rate (%),to 10 years,,,,,,,,,132,23,638,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves. Have used survival to 10 yeays of age."
70,Tapprest et al 2017,No,Castration,Yes,Intact (no surgery),Male,Equus ferus,Pony,,Farm,No,Unknown,Unknown,,,55,0.697,0.697,0.709,,,,Survival rate (%),to 10 years,,,,,,,,,211,201,533,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves. Have used survival to 10 yeays of age."
71,Tapprest et al 2017,No,Castration,Yes,Intact (no surgery),Male,Equus ferus,Saddle horse,,Farm,No,Unknown,Unknown,,,56,0.562,0.554,0.575,,,,Survival rate (%),to 10 years,,,,,,,,,1077,2203,4124,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves. Have used survival to 10 yeays of age."
8,Twigg et al 2000,Yes,Tubul-ligation,No,Sham surgery or no surgery,Female,Oryctolagus cuniculus,Rabbit,,Outdoor enclosure,Yes,Unknown - wild caught (see notes for age estimation),Adult,4,,5,0.133,0.418,0.165,NA,NA,NA,Survival rate (%),Four years,NA,,,,,,,,225,165,435,"1993 cohorts. Assuming adults at sterilization because they do not refer to kittens, and because they show the survival of sterile females against intact females and intact adult males. They also show a plot of kitten survival and show that it is very poor"
9,Twigg et al 2000,Yes,Tubul-ligation,No,Sham surgery or no surgery,Female,Oryctolagus cuniculus,Rabbit,,Outdoor enclosure,Yes,Unknown - wild caught - yearling. Puberty or adult?,,,,6,0.239,0.363,0.221,NA,NA,NA,Survival rate (%),Four years,NA,,,,,,,,109,63,267,1994 cohorts
10,Twigg et al 2000,Yes,Tubul-ligation,No,Sham surgery or no surgery,Female,Oryctolagus cuniculus,Rabbit,,Outdoor enclosure,Yes,Unknown - wild caught - yearly. Puberty or adult? ,,,,7,0.21,0.314,0.209,NA,NA,NA,Survival rate (%),Four years,NA,,,,,,,,252,155,382,1995 cohorts - Also survival data and data split into different densities
87,Urfer et al 2019,No,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,68,14.09,14.15,13.77,0.033,0.013,0.046,Median,years,95% Confidence intervals,18.75369995,12.40048733,22.10748706,,0.033,0.013,0.046,322958,909894,230974,95% confidence intervals Intact Male: 14.03-14.16; Castrated male: 14.13-14.18
88,Urfer et al 2019,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,69,13.77,14.35,14.09,0.046,0.0102,0.033,Median,years,95% Confidence intervals,22.10748706,9.710121425,18.75369995,,0.046,0.0102,0.033,230974,906252,322958,"95% confidence intervals Intact female: 13.68-13.86, OVX female: 14.33-14.37"
41,Waters et al 2011,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Rottweilers,Domestic,No,0.4-2 years. Estimated as puberty because rott weilers start to go through heat at approximately 12-18 months,Puberty,3,,33,0.267,0.323,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,,,,14,65,NA,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data"
39,Waters et al 2011,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Rottweilers,Domestic,No,6.1-8 years,Adult (old),4,,33,0.267,1,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,,,,14,14,NA,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data"
40,Waters et al 2011,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Rottweilers,Domestic,No,2.1-6 years,Adult (young),4,,33,0.267,0.439,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,,,,14,57,NA,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data"
81,Williams et al 2007,Yes,Tubul-ligation,No,Intact (no surgery),Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Unknown - wild caught (>500g weight),Adult (young),4,,65,0.271,0.497,0.269,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,70,143,331,1993 cohort_treatment shared between two controls
82,Williams et al 2007,Yes,Tubul-ligation,No,Sham surgery,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Unknown - wild caught (>500g weight),Adult (young),4,,65,0.271,0.497,0.269,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,140,143,331,1994 cohort_treatment shared between two controls
83,Williams et al 2007,Yes,Tubul-ligation,No,Intact (no surgery),Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,66,0.512,0.516,0.271,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,41,128,280,1994 cohort_Treatment shared
84,Williams et al 2007,Yes,Tubul-ligation,No,Sham surgery,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,66,0.377,0.516,0.271,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,77,128,280,1994 cohort_Treatment shared
85,Williams et al 2007,Yes,Tubul-ligation,No,Intact (no surgery),Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,67,0.279,0.518,0.347,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,43,114,236,1995 cohort_Treatment shared
86,Williams et al 2007,Yes,Tubul-ligation,No,Sham surgery,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yes,Yearling (>500g) Puberty or adult?,,,,67,0.338,0.518,0.347,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,68,114,236,1995 cohort_Treatment shared
112,Wilson et al 2019,No,Ovariectomy,Yes,Intact (no surgery),Female,Homo sapiens,Humans,,,No,Under 50 years old,Adult,4,,90,0.9351,0.9166,NA,,,,Survival rate (%),21.5 years (median follow-up),NA,,,,,,,,10218,851,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
113,Wilson et al 2019,No,Hysterectomy,No,Intact (no surgery),Female,Homo sapiens,Humans,,,No,Under 50 years old,Adult,4,,90,0.9351,0.9324,NA,,,,Survival rate (%),21.5 years (median follow-up),NA,,,,,,,,10218,2472,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
13,Zakeri et al 2019,Yes,Ovariectomy,Yes,Intact (no surgery),Female ,Mus musculus,Mouse,NMRI,Laboratory,No,10 months,Adult (old),4,,11,0.36,0.5,NA,NA,NA,NA,Survival rate (%),11.5 months,NA,,,,,,,,16,16,NA,Its the sterilization treatment that is compared to two different types of control in this study
14,Zakeri et al 2019,Yes,Ovariectomy,Yes,Sham surgery,Female ,Mus musculus,Mouse,NMRI,Laboratory,No,10 months,Adult (old),4,,11,0.33,0.5,NA,NA,NA,NA,Survival rate (%),11.5 months,NA,,,,,,,,16,16,NA,Its the sterilization treatment that is compared to two different types of control in this study
